collisions,steps,timestamp
1.0,3.0,1551359739.0817528
1.0,4.0,1551359739.1119826
1.0,6.0,1551359739.1379335
1.0,14.0,1551359739.2103395
1.0,20.0,1551359739.2700486
1.0,28.0,1551359739.3338068
1.0,34.0,1551359739.3878036
1.0,35.0,1551359739.4027452
2.0,36.0,1551359739.4113872
2.0,38.0,1551359739.4352982
1.0,40.0,1551359739.4564924
2.0,41.0,1551359739.473633
1.0,42.0,1551359739.4861014
2.0,43.0,1551359739.5015228
4.0,44.0,1551359739.5095289
3.0,45.0,1551359739.5180075
2.0,46.0,1551359739.5275896
2.0,47.0,1551359739.5416996
2.0,48.0,1551359739.5509653
2.0,49.0,1551359739.567835
2.0,50.0,1551359739.5758934
3.0,51.0,1551359739.5842
2.0,52.0,1551359739.5929096
2.0,53.0,1551359739.6009488
2.0,54.0,1551359739.6098275
2.0,55.0,1551359739.6244652
2.0,56.0,1551359739.6347995
2.0,57.0,1551359739.6440864
2.0,58.0,1551359739.6524038
2.0,59.0,1551359739.6651053
1.0,65.0,1551359739.7615361
1.0,70.0,1551359739.855201
1.0,92.0,1551359740.3167682
1.0,129.0,1551359741.1622086
1.0,139.0,1551359741.3473132
1.0,153.0,1551359741.5857294
1.0,175.0,1551359741.9418871
1.0,176.0,1551359741.959362
1.0,177.0,1551359741.9785573
1.0,178.0,1551359741.9960408
2.0,182.0,1551359742.0693944
1.0,200.0,1551359742.3574708
1.0,211.0,1551359742.5098863
1.0,213.0,1551359742.5392406
1.0,218.0,1551359742.6108842
1.0,219.0,1551359742.6258764
1.0,223.0,1551359742.679968
1.0,231.0,1551359742.7951171
1.0,235.0,1551359742.8507626
1.0,241.0,1551359742.9504232
1.0,244.0,1551359742.9902709
1.0,246.0,1551359743.0205956
1.0,250.0,1551359743.0745146
1.0,253.0,1551359743.122323
1.0,254.0,1551359743.1401262
1.0,256.0,1551359743.1664557
1.0,259.0,1551359743.2044928
1.0,261.0,1551359743.2221012
1.0,262.0,1551359743.2324803
1.0,263.0,1551359743.242689
1.0,273.0,1551359743.337176
1.0,274.0,1551359743.346921
1.0,277.0,1551359743.3864384
2.0,278.0,1551359743.4050803
1.0,279.0,1551359743.4191024
2.0,280.0,1551359743.4288998
1.0,281.0,1551359743.4405262
1.0,282.0,1551359743.4537728
1.0,287.0,1551359743.5133166
1.0,289.0,1551359743.5362446
1.0,294.0,1551359743.5940676
1.0,306.0,1551359743.724432
1.0,307.0,1551359743.7361991
1.0,315.0,1551359743.8242815
1.0,324.0,1551359743.901741
2.0,328.0,1551359743.9336534
1.0,329.0,1551359743.942225
3.0,331.0,1551359743.9605486
2.0,333.0,1551359743.9770904
1.0,334.0,1551359743.9900403
2.0,336.0,1551359744.0115702
2.0,338.0,1551359744.0266151
1.0,340.0,1551359744.0426667
1.0,341.0,1551359744.0561316
1.0,343.0,1551359744.0743449
1.0,346.0,1551359744.1036987
1.0,350.0,1551359744.163798
1.0,353.0,1551359744.2134588
1.0,357.0,1551359744.2877152
1.0,361.0,1551359744.369859
1.0,362.0,1551359744.3897061
1.0,371.0,1551359744.543831
1.0,375.0,1551359744.6078923
1.0,378.0,1551359744.653727
1.0,388.0,1551359744.7996864
1.0,390.0,1551359744.829369
1.0,395.0,1551359744.901799
1.0,401.0,1551359744.9885788
1.0,409.0,1551359745.122023
1.0,410.0,1551359745.137877
2.0,413.0,1551359745.1783605
1.0,415.0,1551359745.2072878
1.0,417.0,1551359745.2412443
2.0,423.0,1551359745.3404315
1.0,468.0,1551359746.1083522
1.0,469.0,1551359746.125131
1.0,470.0,1551359746.1396618
1.0,471.0,1551359746.155649
1.0,472.0,1551359746.1717496
1.0,473.0,1551359746.1874578
2.0,474.0,1551359746.2060976
1.0,475.0,1551359746.2214766
2.0,476.0,1551359746.2358642
2.0,477.0,1551359746.2464283
2.0,478.0,1551359746.2618737
1.0,479.0,1551359746.273002
1.0,480.0,1551359746.288115
1.0,481.0,1551359746.3018317
1.0,482.0,1551359746.3129544
1.0,483.0,1551359746.3246434
1.0,484.0,1551359746.3358998
1.0,485.0,1551359746.3457477
2.0,486.0,1551359746.3587518
1.0,487.0,1551359746.3702776
1.0,488.0,1551359746.383884
2.0,489.0,1551359746.395669
1.0,490.0,1551359746.4076405
1.0,491.0,1551359746.4189508
1.0,492.0,1551359746.43602
1.0,493.0,1551359746.4471142
2.0,494.0,1551359746.461078
1.0,495.0,1551359746.474001
1.0,496.0,1551359746.4856434
2.0,497.0,1551359746.4960263
2.0,498.0,1551359746.5069654
4.0,499.0,1551359746.5240214
2.0,500.0,1551359746.5358212
2.0,501.0,1551359746.545946
2.0,502.0,1551359746.5577621
4.0,503.0,1551359746.5703077
2.0,504.0,1551359746.5839512
2.0,505.0,1551359746.5940604
2.0,506.0,1551359746.6064472
3.0,507.0,1551359746.618295
1.0,508.0,1551359746.635012
1.0,515.0,1551359746.7578063
1.0,521.0,1551359746.8513126
1.0,523.0,1551359746.8809521
1.0,526.0,1551359746.9233541
2.0,527.0,1551359746.9376442
1.0,537.0,1551359747.1070037
1.0,562.0,1551359747.5229423
1.0,572.0,1551359747.6908748
1.0,573.0,1551359747.7045498
1.0,589.0,1551359747.8562052
1.0,592.0,1551359747.883058
1.0,593.0,1551359747.8918774
1.0,594.0,1551359747.8998976
1.0,595.0,1551359747.9081852
1.0,599.0,1551359747.9394803
1.0,602.0,1551359747.9642138
1.0,603.0,1551359747.9770339
1.0,604.0,1551359747.986256
1.0,606.0,1551359748.0046377
1.0,608.0,1551359748.0259495
1.0,610.0,1551359748.0481768
1.0,611.0,1551359748.058831
2.0,612.0,1551359748.0671651
1.0,613.0,1551359748.0749135
1.0,614.0,1551359748.0828505
2.0,615.0,1551359748.090846
1.0,616.0,1551359748.0991545
1.0,617.0,1551359748.107924
1.0,618.0,1551359748.115417
1.0,619.0,1551359748.1258087
1.0,620.0,1551359748.1374326
1.0,621.0,1551359748.1503952
1.0,622.0,1551359748.1616216
1.0,623.0,1551359748.173466
2.0,624.0,1551359748.1880689
2.0,625.0,1551359748.2034469
1.0,626.0,1551359748.2222795
1.0,629.0,1551359748.2760248
1.0,630.0,1551359748.2971897
1.0,631.0,1551359748.3151567
1.0,632.0,1551359748.3326595
1.0,633.0,1551359748.3499982
1.0,634.0,1551359748.365007
1.0,635.0,1551359748.3786268
1.0,636.0,1551359748.3923168
1.0,637.0,1551359748.406569
1.0,638.0,1551359748.4222972
1.0,639.0,1551359748.4375963
2.0,640.0,1551359748.4531212
1.0,641.0,1551359748.4721372
2.0,642.0,1551359748.4895768
1.0,643.0,1551359748.5081508
1.0,644.0,1551359748.525458
1.0,646.0,1551359748.560531
1.0,655.0,1551359748.698905
1.0,657.0,1551359748.73112
1.0,658.0,1551359748.7447972
1.0,659.0,1551359748.7582152
1.0,660.0,1551359748.771773
1.0,661.0,1551359748.7886605
1.0,662.0,1551359748.804207
1.0,663.0,1551359748.8201249
2.0,664.0,1551359748.836862
1.0,665.0,1551359748.8532577
1.0,666.0,1551359748.8698194
1.0,667.0,1551359748.886409
1.0,668.0,1551359748.9042776
1.0,669.0,1551359748.9201796
1.0,670.0,1551359748.9371622
1.0,671.0,1551359748.9539156
1.0,673.0,1551359748.98935
1.0,675.0,1551359749.0215333
1.0,676.0,1551359749.0372705
1.0,677.0,1551359749.054344
1.0,688.0,1551359749.1974132
1.0,690.0,1551359749.231264
1.0,692.0,1551359749.2700515
1.0,699.0,1551359749.3966115
1.0,705.0,1551359749.5006697
1.0,707.0,1551359749.5328481
1.0,708.0,1551359749.5507514
1.0,711.0,1551359749.5994937
1.0,712.0,1551359749.615506
1.0,715.0,1551359749.6622467
1.0,728.0,1551359749.8750055
1.0,737.0,1551359750.0252974
1.0,749.0,1551359750.2240462
1.0,757.0,1551359750.355268
1.0,760.0,1551359750.4128547
1.0,774.0,1551359750.631475
1.0,779.0,1551359750.68532
1.0,781.0,1551359750.7079575
2.0,784.0,1551359750.7303998
1.0,785.0,1551359750.7399201
1.0,786.0,1551359750.748212
1.0,787.0,1551359750.7585971
1.0,791.0,1551359750.809595
1.0,795.0,1551359750.853963
1.0,796.0,1551359750.866245
1.0,802.0,1551359750.9331996
1.0,803.0,1551359750.9523685
1.0,807.0,1551359750.9997706
1.0,808.0,1551359751.01145
1.0,809.0,1551359751.022329
1.0,815.0,1551359751.0924802
1.0,817.0,1551359751.1173124
1.0,818.0,1551359751.1287868
1.0,819.0,1551359751.1413047
1.0,820.0,1551359751.1553957
1.0,826.0,1551359751.242126
1.0,827.0,1551359751.2568738
1.0,828.0,1551359751.2711318
1.0,829.0,1551359751.287291
2.0,830.0,1551359751.3027022
1.0,831.0,1551359751.318738
1.0,832.0,1551359751.3351932
1.0,833.0,1551359751.3520975
1.0,834.0,1551359751.3685458
1.0,835.0,1551359751.386202
1.0,836.0,1551359751.4032104
1.0,840.0,1551359751.4634595
1.0,852.0,1551359751.6235106
1.0,853.0,1551359751.6378186
1.0,868.0,1551359751.8478954
1.0,877.0,1551359751.9639587
1.0,882.0,1551359752.0368087
1.0,887.0,1551359752.1074224
1.0,901.0,1551359752.2911081
1.0,910.0,1551359752.4082298
1.0,912.0,1551359752.4365742
1.0,919.0,1551359752.5262904
1.0,920.0,1551359752.538291
1.0,921.0,1551359752.5503807
1.0,927.0,1551359752.620773
1.0,928.0,1551359752.632782
1.0,929.0,1551359752.644935
2.0,931.0,1551359752.6668646
1.0,932.0,1551359752.676759
1.0,934.0,1551359752.6990633
2.0,935.0,1551359752.7092671
1.0,941.0,1551359752.782399
1.0,942.0,1551359752.7930555
1.0,943.0,1551359752.8046482
1.0,945.0,1551359752.825832
1.0,948.0,1551359752.8652735
2.0,953.0,1551359752.9179952
2.0,955.0,1551359752.9413893
1.0,956.0,1551359752.953314
1.0,960.0,1551359752.994223
1.0,961.0,1551359753.0050278
1.0,962.0,1551359753.0169127
1.0,964.0,1551359753.0514498
1.0,971.0,1551359753.1714056
1.0,979.0,1551359753.3085287
1.0,984.0,1551359753.392551
1.0,992.0,1551359753.5391078
1.0,995.0,1551359753.5885756
1.0,999.0,1551359753.6500301
1.0,1005.0,1551359753.7614005
1.0,1017.0,1551359753.9805052
1.0,1040.0,1551359754.387559
1.0,1041.0,1551359754.3993294
1.0,1042.0,1551359754.4166546
1.0,1043.0,1551359754.4297247
1.0,1044.0,1551359754.4417045
1.0,1045.0,1551359754.4529667
2.0,1046.0,1551359754.4656024
1.0,1047.0,1551359754.4765153
1.0,1048.0,1551359754.4882643
2.0,1049.0,1551359754.4991899
1.0,1050.0,1551359754.5105288
1.0,1051.0,1551359754.5234733
1.0,1052.0,1551359754.5359569
3.0,1053.0,1551359754.548645
2.0,1054.0,1551359754.5610094
1.0,1055.0,1551359754.5739634
