dropped,latency,steps,timestamp
1.0,36.0,36.0,1551185748.182784
1.0,39.0,39.0,1551185748.218229
1.0,39.0,39.0,1551185748.219838
1.0,41.0,41.0,1551185748.243082
1.0,41.0,41.0,1551185748.244544
1.0,41.0,41.0,1551185748.245776
1.0,66.0,66.0,1551185748.5975199
1.0,66.0,66.0,1551185748.598948
1.0,69.0,69.0,1551185748.647342
1.0,107.0,107.0,1551185749.20049
1.0,110.0,110.0,1551185749.247541
1.0,110.0,110.0,1551185749.2487838
1.0,131.0,131.0,1551185749.529553
1.0,131.0,131.0,1551185749.53092
1.0,134.0,134.0,1551185749.5804422
1.0,170.0,170.0,1551185750.050841
1.0,170.0,170.0,1551185750.052215
1.0,170.0,170.0,1551185750.053602
1.0,195.0,195.0,1551185750.364888
1.0,195.0,195.0,1551185750.366178
1.0,26.0,342.0,1551185752.3651981
1.0,51.0,344.0,1551185752.3989928
1.0,25.0,384.0,1551185752.948398
1.0,19.0,416.0,1551185753.367587
1.0,53.0,473.0,1551185754.068148
1.0,38.0,473.0,1551185754.0695639
1.0,28.0,482.0,1551185754.213084
1.0,42.0,511.0,1551185754.581727
1.0,35.0,548.0,1551185755.115308
1.0,33.0,548.0,1551185755.116947
1.0,30.0,576.0,1551185755.5150368
1.0,24.0,586.0,1551185755.6504278
1.0,48.0,634.0,1551185756.198924
1.0,33.0,651.0,1551185756.40174
1.0,70.0,702.0,1551185757.052138
1.0,31.0,702.0,1551185757.053673
1.0,71.0,704.0,1551185757.075188
1.0,63.0,709.0,1551185757.1353369
1.0,58.0,709.0,1551185757.1366909
1.0,86.0,711.0,1551185757.166344
1.0,33.0,751.0,1551185757.685686
1.0,86.0,754.0,1551185757.7304919
1.0,65.0,756.0,1551185757.751789
1.0,19.0,813.0,1551185758.463619
1.0,44.0,884.0,1551185759.381288
1.0,35.0,905.0,1551185759.6511629
1.0,51.0,930.0,1551185759.981503
1.0,37.0,985.0,1551185760.713417
1.0,79.0,987.0,1551185760.7493062
1.0,49.0,987.0,1551185760.750562
